

This is RAxML version 8.2.12 released by Alexandros Stamatakis on May 2018.

With greatly appreciated code contributions by:
Andre Aberer      (HITS)
Simon Berger      (HITS)
Alexey Kozlov     (HITS)
Kassian Kobert    (HITS)
David Dao         (KIT and HITS)
Sarah Lutteropp   (KIT and HITS)
Nick Pattengale   (Sandia)
Wayne Pfeiffer    (SDSC)
Akifumi S. Tanabe (NRIFS)
Charlie Taylor    (UF)


Alignment has 637 distinct alignment patterns

Proportion of gaps and completely undetermined characters in this alignment: 3.59%

RAxML rapid bootstrapping and subsequent ML search

Using 1 distinct models/data partitions with joint branch length optimization



Executing 1000 rapid bootstrap inferences and thereafter a thorough ML search 

All free model parameters will be estimated by RAxML
GAMMA model of rate heterogeneity, ML estimate of alpha-parameter

GAMMA Model parameters will be estimated up to an accuracy of 0.1000000000 Log Likelihood units

Partition: 0
Alignment Patterns: 637
Name: No Name Provided
DataType: AA
Substitution Matrix: LG
Using fixed base frequencies




RAxML was called as follows:

raxmlHPC -s ../Spikes_aligned.fasta -n Spike_tree.txt -m PROTGAMMALG -f a -p 10 -N autoMRE -x 10 



Time for BS model parameter optimization 2.504336
Bootstrap[0]: Time 21.219727 seconds, bootstrap likelihood -16096.499052, best rearrangement setting 5
Bootstrap[1]: Time 18.479109 seconds, bootstrap likelihood -16618.934277, best rearrangement setting 14
Bootstrap[2]: Time 21.397417 seconds, bootstrap likelihood -17834.949862, best rearrangement setting 14
Bootstrap[3]: Time 20.299138 seconds, bootstrap likelihood -17725.626946, best rearrangement setting 9
Bootstrap[4]: Time 19.298710 seconds, bootstrap likelihood -15962.442333, best rearrangement setting 12
Bootstrap[5]: Time 19.187226 seconds, bootstrap likelihood -16861.317811, best rearrangement setting 10
Bootstrap[6]: Time 18.806562 seconds, bootstrap likelihood -16932.869674, best rearrangement setting 8
Bootstrap[7]: Time 19.027369 seconds, bootstrap likelihood -17727.373402, best rearrangement setting 6
Bootstrap[8]: Time 18.719117 seconds, bootstrap likelihood -16766.112116, best rearrangement setting 5
Bootstrap[9]: Time 20.117531 seconds, bootstrap likelihood -17709.193294, best rearrangement setting 11
Bootstrap[10]: Time 19.546313 seconds, bootstrap likelihood -17344.064387, best rearrangement setting 10
Bootstrap[11]: Time 20.397309 seconds, bootstrap likelihood -17284.695649, best rearrangement setting 14
Bootstrap[12]: Time 18.914014 seconds, bootstrap likelihood -17371.100217, best rearrangement setting 13
Bootstrap[13]: Time 18.157089 seconds, bootstrap likelihood -17011.345261, best rearrangement setting 10
Bootstrap[14]: Time 17.744357 seconds, bootstrap likelihood -17555.218352, best rearrangement setting 8
Bootstrap[15]: Time 18.160847 seconds, bootstrap likelihood -17514.206927, best rearrangement setting 12
Bootstrap[16]: Time 19.838784 seconds, bootstrap likelihood -16903.838744, best rearrangement setting 10
Bootstrap[17]: Time 17.584008 seconds, bootstrap likelihood -16535.342440, best rearrangement setting 6
Bootstrap[18]: Time 18.210965 seconds, bootstrap likelihood -16368.728780, best rearrangement setting 15
Bootstrap[19]: Time 20.240715 seconds, bootstrap likelihood -17604.268667, best rearrangement setting 14
Bootstrap[20]: Time 20.328510 seconds, bootstrap likelihood -16978.536306, best rearrangement setting 15
Bootstrap[21]: Time 18.782826 seconds, bootstrap likelihood -17979.654756, best rearrangement setting 11
Bootstrap[22]: Time 18.521704 seconds, bootstrap likelihood -16165.645191, best rearrangement setting 12
Bootstrap[23]: Time 19.065741 seconds, bootstrap likelihood -17588.456149, best rearrangement setting 12
Bootstrap[24]: Time 17.757851 seconds, bootstrap likelihood -16933.885570, best rearrangement setting 6
Bootstrap[25]: Time 19.758298 seconds, bootstrap likelihood -17222.292387, best rearrangement setting 9
Bootstrap[26]: Time 19.675232 seconds, bootstrap likelihood -16804.499684, best rearrangement setting 15
Bootstrap[27]: Time 18.914770 seconds, bootstrap likelihood -17094.073945, best rearrangement setting 12
Bootstrap[28]: Time 18.124221 seconds, bootstrap likelihood -16328.067650, best rearrangement setting 6
Bootstrap[29]: Time 19.297903 seconds, bootstrap likelihood -16916.315256, best rearrangement setting 6
Bootstrap[30]: Time 19.646144 seconds, bootstrap likelihood -18112.516197, best rearrangement setting 14
Bootstrap[31]: Time 16.188454 seconds, bootstrap likelihood -16552.900128, best rearrangement setting 11
