"expt","titration","genotype","replicate","Kd","Kd_SE","mean_FITCpos","mean_geomean_FITC"
200508,"1","SARS-CoV-2","1",0.0386631010544891,0.0023731944842139,62.325,17043.1666666667
200501,"10","SARS-CoV-2","3",0.0467487104276401,0.00230060167082899,NA,NA
200508,"2","RaTG13","1",5.57594945575924,1.4609270614082,63.25,19296.1666666667
200508,"3","Pangolin-GD","1",0.0285174142787154,0.00205630892532815,51.7583333333333,20748.5833333333
200508,"4","HKU3-1","1",3.43893661840751,6.20751845352911,47.7,19397.25
200508,"5","SARS-CoV-1","1",0.117064841646218,0.00609743302133823,34.5166666666667,16004.8333333333
200508,"6","LYRa11","1",0.175513903551236,0.00742370773668853,55.8833333333333,22845.25
200508,"7","BM48-31","1",0.376504400181738,1.07280460817046,48.0416666666667,17700.5
200501,"8","SARS-CoV-2","1",0.0499110377704312,0.00195049404153445,61.9333333333333,NA
200501,"9","SARS-CoV-2","2",0.0547042759243308,0.00449710991718418,58.775,NA
200501,"wt_pooled","SARS-CoV-2","pooled",0.0507656249573827,0.00185787137949722,NA,NA
